id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price
9011,Motel des Cedres,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Non-smoking hotel', 'Outdoor pool', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",6210 Bourque Blvd Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",90
9012,Motel Le Sabre,4.0,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Family Rooms']",647 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",75
9013,Motel Le Refuge,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room']",43 Queen St. Quebec,Canada,Kimberley British Columbia,"(45.36133555, -71.8574790528734)",
9014,Hotellerie Jardins de ville,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Restaurant', 'Banquet Room', 'Business Centre with Internet Access', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",423 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",
9015,Universite de Sherbrooke Hotellerie,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Indoor pool', 'Laundry Service', 'Non-smoking hotel', 'Self-Serve Laundry', 'Refrigerator in room', 'Non-smoking rooms']",2500 Boulevard de l'Universite Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3783078, -71.9284700215281)",
9016,Ile de Garde,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Airport transportation', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",576 rue Prospect Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.4078843, -71.8984813)",
9017,Hotel & Motel La Marquise,3.5,Very good,"['Pool', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Business Centre with Internet Access', 'Laundry Service', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1700 Wellington South Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",
9018,Gite L'Antre D'Eux,5.0,Excellent,"['Pool', 'Free parking', 'Spa', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",3870 Chemin Rheaume Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3434928, -72.0866946)",103
9019,Motel Econo-Nuit,,,[],520 rue du Parc-Industriel Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.4644679, -71.9636247)",70
9020,Charmes de Provence,5.0,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",350 rue Quebec Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3972886, -71.8590609603101)",
9021,Les Matins d'Antoine,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Kitchenette']",39 rue Queen Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3605715992773, -71.8580108739399)",
9022,Bishop's University,4.5,Excellent,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Golf Course', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Tennis Court', 'Family Rooms']",Rue College Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3663242, -71.8559118)",
9023,Villa Marco Polo,4.0,,[],811 General de Montcalm ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9024,Quality Hotel & Suites,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Pool', 'Restaurant', 'Babysitting', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms']",4206 King Street West Sherbrooke Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",
9025,Au gite des 4 Lacs,,,[],211 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",
9026,Au Coeur de l'Emeraude,5.0,Excellent,"['Restaurant', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",56 Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.403271, -71.889038)",
9027,Camping Lac Magog,4.0,Very good,[], ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9028,Camping Ile-Marie,4.0,,[],22 ,Canada,Kimberley British Columbia,"(48.45842215, -2.75058683461077)",
9029,A Aurore Boreale,5.0,,[],79 ,Canada,Kimberley British Columbia,"(46.53914, -0.299533326480368)",
9030,La Maison Orientale,5.0,,[],131 des Villas ,Canada,Kimberley British Columbia,"(47.1689579, 23.8777736)",
9031,Camping Beau-Lieu,,,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access']",5153 Chemin de Sainte-Catherine Sherbrooke Quebec,Canada,Kimberley British Columbia,"(45.3250517979302, -71.9867102753953)",
9032,Hebergement Hotelier Universite de Sherbrooke,,,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Shuttle Bus Service', 'Kitchenette']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9033,Kingfisher Oceanside Resort and Spa,4.0,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Airport transportation', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Shuttle Bus Service', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4330 Island Hwy S Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6979848, -124.9892914)",
9034,Old House Hotel & Spa,4.5,Excellent,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Airport transportation', 'Business Centre with Internet Access', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1730 Riverside Lane Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.68460635, -124.988698445907)",170
9035,Holiday Inn Express Hotel & Suites Courtenay Comox Valley SW,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast included', 'Pool', 'Free parking', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",2200 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6797945, -124.98351935)",160
9036,Travelodge Courtenay BC,,,[],2605 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.67543445, -124.983146628407)",
9037,The Villas at Crown Isle Resort,4.5,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Room service', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Kitchenette', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9038,Anco Inn,4.0,Very good,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Smoking rooms available']",1885 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.68235065, -124.988601567672)",
9039,Best Western The Westerly Hotel,4.0,Very good,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Babysitting', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",1590 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6855775, -124.9909604)",
9040,Lake Trail Guesthouse,4.5,Excellent,"['Free parking', 'Children Activities (Kid / Family Friendly)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Kitchenette']",4787 Lake Trail Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6791452, -125.0128641)",
9041,Estuary House B&B,3.5,,[],2810 Comox Rd ,Canada,Kimberley British Columbia,"(49.6804099, -124.9701858)",110
9042,Stafford House B&B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Air conditioning']",123 Stafford Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7078483, -124.9798837)",115
9043,Arbour Cottage B & B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",1675 Dingwall Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7070434, -124.9819919)",90
9044,Serenity Lodge Bed And Breakfast,,,[],3120 Klanawa Cres ,Canada,Kimberley British Columbia,"(49.7184169, -124.9666689)",125
9045,Belle Vue Bed and Breakfast,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Golf Course', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",5782 Coral Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.7765437, -124.9801246)",
9046,Blue Willow Guest House,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms', 'Suites']",524 Quatna Rd Qualicum Beach British Columbia,Canada,Kimberley British Columbia,"(49.3549901, -124.4215687)",
9047,Tree Island Bed And Breakfast,5.0,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Wheelchair Access']",4609 Kilmarnock Dr Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9048,Salsbury House B&B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Airport transportation', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",65 Salsbury Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6793073, -125.0383562)",
9049,River Heights Motel,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1820 Cliffe Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.683355, -124.987826)",80
9050,Seal Bay RV Park & Campground,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)']",1901 Larch Rd Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9051,The Cona Hostel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Non-smoking rooms']",440 Anderton Ave Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6954577, -124.9988594)",
9052,Horne Lake Regional Park Campground,3.5,,[],Horne Lake Caves Rd ,Canada,Kimberley British Columbia,"(49.3429371, -124.665709)",
9053,McCullough Cottage B&B,5.0,Excellent,"['Hot Tub', 'Non-smoking hotel', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9054,Mission Ridge B&B,5.0,Excellent,['Refrigerator in room'], ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9055,Shantz Haus Hostel,3.0,Average,[],520 5th St Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.689569, -125.001988926253)",
9056,Arbutus Pacific Hotel,1.5,,[],275 8th St ,Canada,Kimberley British Columbia,"(38.4220683423849, -82.4459468601246)",
9057,La Pause Vacation Home,,,"['Pool', 'Free parking', 'Spa', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Family Rooms', 'Non-smoking rooms', 'Suites']",540 Salsbury Road Courtenay British Columbia,Canada,Kimberley British Columbia,"(49.6748527, -125.0302615)",
9058,Sea Lion Bed & Breakfast,,,"['Pool', 'Hot Tub']",2011 Sea Lion Way Site 291 C41 Rr2 Courtenay British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9059,Holiday Inn Express Hotel & Suites Chatham South,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",575 Richmond St Ontario,Canada,Kimberley British Columbia,"(42.39057195, -82.2022349843136)",
9060,Days Inn by Wyndham Wallaceburg,3.0,Average,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Room service', 'Babysitting', 'Concierge', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",76 McNaughton Ave Ontario,Canada,Kimberley British Columbia,"(42.5830567476025, -82.3815609262168)",118
9061,Retro Suites Hotel,5.0,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Room service', 'Bar/Lounge', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",2 King St W Ontario,Canada,Kimberley British Columbia,"(43.25793945, -79.8720782044408)",155
9062,Wenzler's Landing Bed & Breakfast,5.0,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Laundry Service', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",2310 Hickson Rd Ontario,Canada,Kimberley British Columbia,"(42.080348, -82.4785924)",
9063,Omstead's On Erie B&B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",254 Detroit Line Ontario,Canada,Kimberley British Columbia,"(42.0718247166667, -82.45674745)",
9064,Travelodge Chatham,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Airport transportation', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']",555 Bloomfield Rd Ontario,Canada,Kimberley British Columbia,"(42.3794449419355, -82.2164693532258)",
9065,Saxony Motel & Restaurant,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",521 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4193298909091, -82.1732519545455)",69
9066,Comfort Inn Chatham,,,[],1100 Richmond St Ontario,Canada,Kimberley British Columbia,"(42.3804469, -82.2152573)",135
9067,Kent Motel,3.5,Very good,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",420 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4177726, -82.175479)",60
9068,Bye the Bay Bed and Breakfast,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Air conditioning', 'Kitchenette', 'Suites']",18288 Kent Bridge Rd Ontario,Canada,Kimberley British Columbia,"(42.33781051986, -81.8491952895659)",
9069,Silver Motel,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Air conditioning', 'Minibar', 'Refrigerator in room']",398 Chatham St S Ontario,Canada,Kimberley British Columbia,"(42.3237801811065, -81.9732345842401)",
9070,Bound to Please Bed and Breakfast,5.0,,[],791 Talbot Rd E Ontario,Canada,Kimberley British Columbia,"(42.086115477193, -82.7081214807018)",
9071,Super 8 by Wyndham Chatham,3.0,Average,"['Free High Speed Internet (WiFi)', 'Free parking', 'Pool', 'Breakfast included', 'Babysitting', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Smoking rooms available']",25 Michener Rd Ontario,Canada,Kimberley British Columbia,"(42.4197734, -82.17461795)",
9072,Lakeside Village Motel and Campground,5.0,,[],2416 Talbot Trail Ontario,Canada,Kimberley British Columbia,"(42.1383664789474, -82.3610142789474)",
9073,Traveller Inn,2.0,,[],7715 Queens Line Ontario,Canada,Kimberley British Columbia,"(42.277844, -82.3767935)",
9074,Chatham Motel,2.0,,[],658 Grand Ave E Ontario,Canada,Kimberley British Columbia,"(42.4224674, -82.1669753)",50
9075,The Duchess of Wellington,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",320 Wellington St W Ontario,Canada,Kimberley British Columbia,"(43.9788038, -80.7392344)",
9076,Campers Cove Campground,4.0,Very good,"['Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )']",21097 Campers Cove Rd Ontario,Canada,Kimberley British Columbia,"(42.1032615, -82.4266332)",
9077,Erie-O Motel & Marina,4.5,Excellent,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Kitchenette', 'Suites']",840 Ross Lane Ontario,Canada,Kimberley British Columbia,"(42.2610735819823, -81.9190115982297)",
9078,Katharine's Bed and Breakfast,5.0,,[],8 Carlyle Stree Ontario,Canada,Kimberley British Columbia,"(50.000678, -86.000977)",
9079,Holiday Harbour Campground,4.0,Very good,[], ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9080,Regent Guest House Ltd,,,[],204 Maidstone Rd Ontario,Canada,Kimberley British Columbia,"(42.2094717, -82.8874849)",
9081,Parkside Cabins,3.5,,[],7 Main Steet Ontario,Canada,Kimberley British Columbia,"(50.000678, -86.000977)",
9082,Raleigh Street Executive Suites,1.0,,[],46-54 Raleigh St Ontario,Canada,Kimberley British Columbia,"(42.4025683782609, -82.1882786521739)",
9083,Blue Water Shiloh Park,,,"['Free parking', 'Children Activities (Kid / Family Friendly)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Suites']",5928 Bluewater Line Ontario,Canada,Kimberley British Columbia,"(42.58336195, -82.4488979852989)",
9084,Lakeside Cabin Rentals,,,[],875 Mariners Ontario,Canada,Kimberley British Columbia,"(42.260516, -81.917799)",
9085,Maison Bleu Bed & Breakfast,,,[],7767 Talbot Trail Ontario,Canada,Kimberley British Columbia,"(42.2565727173932, -82.0708734472555)",
9086,Toulinguet Inn B&B and Suites,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",56 Main St Twillingate Newfoundland and Labrador,Canada,Kimberley British Columbia,"(49.6623078, -54.7780326)",
9087,White On Wood,4.0,Very good,['Air conditioning'],14 Water Street Twillingate Newfoundland and Labrador,Canada,Kimberley British Columbia,"(53.8217327, -61.2295532)",
