id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price
11,Best Western Plus Waterfront Hotel,4.0,Very good,"['Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Pool', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",277 Riverside Dr W Windsor Ontario,Canada,"(42.3185694, -83.0452773)",116.0
12,"Country Inn & Suites by Radisson, Niagara Falls, ON",4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",5525 Victoria Avenue Niagara Falls Ontario,Canada,"(43.0945418, -79.0730751210875)",
13,Best Western Plus Chateau Granville,4.0,Very good,"['Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1100 Granville St Vancouver British Columbia,Canada,"(49.2778186, -123.124592780207)",157.0
14,Novotel Toronto Centre,,,[],45 The Esplanade Toronto Ontario,Canada,"(43.646654, -79.3741190772592)",474.0
15,"The Westin Trillium House, Blue Mountain",4.0,Very good,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Ski-In / Ski-Out', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",220 Gord Canning Drive Blue Mountains Ontario,Canada,"(44.5016075, -80.3105063)",151.0
16,Hotel Le Dauphin Montreal Centre-Ville,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",1025 de Bleury Street Montreal Quebec,Canada,"(52.4760892, -71.8258668)",126.0
17,Chateau Victoria Hotel and Suites,4.5,Excellent,"['Pool', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",Chateau Victoria 740 Burdett Ave Victoria British Columbia,Canada,"(55.001251, -125.002441)",
18,L'Hermitage Hotel,5.0,Excellent,"['Pool', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Room service', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",788 Richards Street Vancouver British Columbia,Canada,"(49.2805221, -123.1169671)",265.0
19,Hotel Grand Pacific,4.5,Excellent,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",463 Belleville Street Victoria British Columbia,Canada,"(48.4206432, -123.372549817692)",249.0
20,Lord Elgin,4.5,Excellent,"['Restaurant', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",100 Elgin St Ottawa Ontario,Canada,"(45.42134495, -75.6937630429511)",
21,Le Saint-Sulpice,4.5,Excellent,"['Restaurant', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",414 Saint-Sulpice Montreal Quebec,Canada,"(52.4760892, -71.8258668)",190.0
22,Moose Hotel and Suites,4.5,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",345 Banff Avenue Alberta,Canada,"(51.1996032, -115.537485)",
23,Pan Pacific Vancouver,4.5,Excellent,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Free Internet', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Paid Internet', 'Paid Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",300-999 Canada Place Way Vancouver British Columbia,Canada,"(55.001251, -125.002441)",
24,Coast Coal Harbour Vancouver Hotel by APA,4.5,Excellent,"['Pool', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms', 'Suites']",1180 West Hastings Street Vancouver British Columbia,Canada,"(49.28835455, -123.122191592124)",183.0
25,Fairmont Chateau Lake Louise,4.5,Excellent,"['Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Bar/Lounge', 'Spa', 'Pool', 'Free Internet', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Family Rooms', 'Non-smoking rooms', 'Suites']",111 Lake Louise Drive Alberta,Canada,"(51.4171463, -116.2169453)",
26,Summit Lodge Boutique Hotel,,,[],4359 Main St Whistler British Columbia,Canada,"(50.1171903, -122.9543022)",
27,Delta Hotels by Marriott Toronto,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Pool', 'Room service', 'Restaurant', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",75 Lower Simcoe Street Toronto Ontario,Canada,"(43.6428083, -79.3837488)",
28,Acclaim Hotel Calgary Airport,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Airport transportation', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",123 Freeport Blvd NE Calgary Alberta,Canada,"(51.1507669, -114.0129907)",
29,Hotel Le Priori,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Babysitting', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms', 'Suites']",15 rue Sault-au-Matelot Quebec City Quebec,Canada,"(52.4760892, -71.8258668)",159.0
30,Radisson Admiral Toronto Harbourfront,,,[],249 Queen's Quay West Toronto Ontario,Canada,"(43.63858485, -79.3858932572311)",
31,Mount Robson Inn,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Breakfast included', 'Hot Tub', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",902 Connaught Dr (Main Street) Alberta,Canada,"(55.001251, -115.002136)",139.0
32,Crimson Jasper,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Restaurant', 'Pool', 'Free parking', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",200 Connaught Dr Alberta,Canada,"(52.8665, -118.0934041)",
33,Bear Hill Lodge,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",100 Bonhomme Road Alberta,Canada,"(55.001251, -115.002136)",117.0
34,Chateau Jasper,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",96 Geikie St Alberta,Canada,"(52.88633, -118.080054)",
35,Maligne Lodge,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",912 Connaught Dr. Alberta,Canada,"(52.871033, -118.089972)",145.0
36,Marmot Lodge,4.0,Very good,"['Restaurant', 'Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",86 Connaught Drive Alberta,Canada,"(52.8874202, -118.0776376)",
38,Tonquin Inn,3.5,Very good,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Air conditioning', 'Kitchenette', 'Non-smoking rooms', 'Suites']",100 Juniper Avenue Alberta,Canada,"(53.5154605, -113.3101844)",145.0
39,Fairmont Jasper Park Lodge,4.0,Very good,"['Free parking', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Pool', 'Spa', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Golf Course', 'Heated pool', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Tennis Court', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",Old Lodge Road Jasper Alberta,Canada,"(52.8882325, -118.0564112)",187.0
40,Sawridge Inn and Conference Centre Jasper,4.0,Very good,"['Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Spa', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",76 Connaught Drive Alberta,Canada,"(52.8665, -118.0934041)",150.0
41,Lobstick Lodge,3.0,Average,"['Pool', 'Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",94 Geikie St Alberta,Canada,"(52.88642, -118.080026)",
42,Pyramid Lake Resort,,,[],Pyramid Lake Road Alberta,Canada,"(52.9103697, -118.0917771)",168.0
43,Jasper Inn & Suites,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Business Centre with Internet Access', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Microwave', 'Kitchenette', 'Non-smoking rooms', 'Suites']",98 Geikie Street Alberta,Canada,"(52.884366, -118.080609)",
44,Athabasca Hotel,3.5,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Non-smoking rooms']",510 Patricia St Alberta,Canada,"(52.87657, -118.081459)",99.0
45,Whistlers Inn,3.5,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",105 Miette Drive Alberta,Canada,"(52.8765995644426, -118.080613917096)",169.0
46,HI Jasper,3.5,Very good,"['Free parking', 'Non-smoking hotel', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1 Skytram Road Alberta,Canada,"(52.85208, -118.1118021)",
47,Astoria Hotel,2.5,Average,"['Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",404 Connaught Drive Alberta,Canada,"(52.8774855087601, -118.080006530863)",90.0
48,Sleepy Bear Inn,,,[],818 Patricia Street Alberta,Canada,"(52.8842283, -118.0791662)",119.0
49,Overlander Mountain Lodge,4.0,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",27010 Highway 16 Alberta,Canada,"(53.5704959, -113.1296237)",
50,Patricia Lake Bungalows Resort,4.5,Excellent,"['Free parking', 'Free Internet', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",Pyramid Lake Road Alberta,Canada,"(52.9103697, -118.0917771)",
51,The White Brick Inn,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",201 Geikie Street Alberta,Canada,"(52.8761879, -118.0827329)",
52,Park Place Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",623 Patricia Street Alberta,Canada,"(52.8842283, -118.0791662)",
53,Fitzhugh House,,,[],119 Patricia St. Alberta,Canada,"(52.8826863636364, -118.079453818182)",
54,Pyramid Guest House,,,[],903 Pyramid Lake Road Alberta,Canada,"(52.8747100563835, -118.091999532249)",
55,Pine Bungalows,4.0,Very good,"['Free parking', 'Free Internet', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",2 Cottonwood Creek Road Alberta,Canada,"(52.8935458, -118.0698657)",
56,Celtic Haven,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Refrigerator in room', 'Non-smoking rooms']",916 Bonhomme Street Alberta,Canada,"(52.8761795, -118.0894309)",
